,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
215,苏州,,不会有人不知道，木兰定位是低幼化儿童群体，儿童看的津津有味才重要吧,1107565280,gfk615014506,5.0,2
216,南京,1,不错很棒，人物刻画的很好，人物性格鲜明，好看,1107531176,叫我红领巾q,5.0,3
217,南京,,还是蛮符合观众审美的，尤其是景色描写，真的是碧空远影啊。,1107585992,嘻嘻好好备,5.0,2
218,扬州,,这部国漫的画面效果很不错，花木兰耳熟能详的故事配合着国漫的音效，替父从军的父女之情跃然纸上,1106640453,yueting728,5.0,2
219,扬州,1,虽然这部片子延续的为爱伐木累，但是家人之间不就是爱与被爱么，累并快乐着，初为人母的我更能感受到亲子之间的这份亲情,1106641554,漠笑尘,5.0,2
220,扬州,2,都说父爱如山，女儿对父亲的爱其实也很深沉厚重。木兰对父亲的爱，默默无声，却深沉无可替代,1106644465,yueting1351,5.0,3
221,扬州,1,关于评分，是保有对美好向往的热情之心，花木兰是我国历史上赞美女性的故事，此次搬上大荧幕，挺喜欢的,1106644151,王大你个锤子,5.0,2
222,扬州,,花木兰体替父从军，父女间的亲情展露无遗，感人至深，愿我自己可以成长为可以庇护家人的“木兰”,1106639678,春琴5486,5.0,2
223,浦江,2,再一次看到木兰这部电影，让我耳目一新，把木兰从军的故事融入到动漫中，别有一番看点，一场场精彩的打斗场景很唯美，很喜欢，支持国漫👍,1106765720,BLF176552150,5.0,2
224,宝应,1,非常不错！👍,1107574950,kIb133824094,5.0,1
225,成都,2,剧情感觉蛮感人的，而且没有脱离故事主线，看起来特别有味道，可以带孩子一起去感受一下,1107574416,卡哇伊呀妈呀,5.0,3
226,成都,2,带小孩一起去看的，感觉特效特别好，而且画质很细腻，国漫在崛起呀！,1107574382,坚守初心o,5.0,3
227,运城,,电影不错。支持国漫，木兰不放弃的精神，值得我们学习。,1107574117,poe650297967,5.0,2
228,泸州,,花木兰小时候琅琅上口的背诵短文，花木兰替父从军，巾帼不让须眉，英勇善战，配音与动画制作都很称赞！,1106732618,潇洒兔哥哥,5.0,3
229,江阴,,烂片别看吐了,1107539894,Lfo561783298,0.5,1
